Identifier,State,Year,ContribLimit_Citation,COLA,COLA_Which,COLA_BaseYear,Adjustment_Other,Adjustment_Other_Explained,Adjustment_Other_BaseYear,Primary_General_Difference,Primary_General_Difference_Explained,IndividualToCand,IndividualToCandLimit_H,IndividualToCandLimit_H_Period,IndividualToCandLimit_H_Max,IndividualToCandLimit_H_Explained,IndividualToCandLimit_S,IndividualToCandLimit_S_Period,IndividualToCandLimit_S_Max,IndividualToCandLimit_S_Explained,IndividualToCandLimit_G,IndividualToCandLimit_G_Period,IndividualToCandLimit_G_Max,IndividualToCandLimit_G_Explained,IndividualToCandLimit_J,IndividualToCandLimit_J_Period,IndividualToCandLimit_J_Max,IndividualToCandLimit_J_Explained,PACToCand,PACToCandLimit_H,PACToCandLimit_H_Period,PACToCandLimit_H_Max,PACToCandLimit_H_Explained,PACToCandLimit_S,PACToCandLimit_S_Period,PACToCandLimit_S_Max,PACToCandLimit_S_Explained,PACToCandLimit_G,PACToCandLimit_G_Period,PACToCandLimit_G_Max,PACToCandLimit_G_Explained,PACToCandLimit_J,PACToCandLimit_J_Period,PACToCandLimit_J_Max,PACToCandLimit_J_Explained,SpecialPACToCand,SpecialPACToCandLimit_H,SpecialPACToCandLimit_H_Period,SpecialPACToCandLimit_H_Max,SpecialPACToCandLimit_H_Explained,SpecialPACToCandLimit_S,SpecialPACToCandLimit_S_Period,SpecialPACToCandLimit_S_Max,SpecialPACToCandLimit_S_Explained,SpecialPACToCandLimit_G,SpecialPACToCandLimit_G_Period,SpecialPACToCandLimit_G_Max,SpecialPACToCandLimit_G_Explained,SpecialPACToCandLimit_J,SpecialPACToCandLimit_J_Period,SpecialPACToCandLimit_J_Max,SpecialPACToCandLimit_J_Explained,CorpToCand,CorpToCandLimit_H,CorpToCandLimit_H_Period,CorpToCandLimit_H_Max,CorpToCandLimit_H_Explained,CorpToCandLimit_S,CorpToCandLimit_S_Period,CorpToCandLimit_S_Max,CorpToCandLimit_S_Explained,CorpToCandLimit_G,CorpToCandLimit_G_Period,CorpToCandLimit_G_Max,CorpToCandLimit_G_Explained,LaborToCand,LaborToCandLimit_H,LaborToCandLimit_H_Period,LaborToCandLimit_H_Max,LaborToCandLimit_H_Explained,LaborToCandLimit_S,LaborToCandLimit_S_Period,LaborToCandLimit_S_Max,LaborToCandLimit_S_Explained,LaborToCandLimit_G,LaborToCandLimit_G_Period,LaborToCandLimit_G_Max,LaborToCandLimit_G_Explained,StatePToCand,StatePToCandLimit_H,StatePToCandLimit_H_Period,StatePToCandLimit_H_Max,StatePToCandLimit_H_Explained,StatePToCandLimit_S,StatePToCandLimit_S_Period,StatePToCandLimit_S_Max,StatePToCandLimit_S_Explained,StatePToCandLimit_G,StatePToCandLimit_G_Period,StatePToCandLimit_G_Max,StatePToCandLimit_G_Explained,LocalPToCand,LocalPToCandLimit_H,LocalPToCandLimit_H_Period,LocalPToCandLimit_H_Max,LocalPToCandLimit_H_Explained,LocalPToCandLimit_S,LocalPToCandLimit_S_Period,LocalPToCandLimit_S_Max,LocalPToCandLimit_S_Explained,LocalPToCandLimit_G,LocalPToCandLimit_G_Period,LocalPToCandLimit_G_Max,LocalPToCandLimit_G_Explained,OtherCandToCand,OtherToCandLimit_H,OtherToCandLimit_H_Period,OtherToCandLimit_H_Max,OtherToCandLimit_H_Explained,OtherToCandLimit_S,OtherToCandLimit_S_Period,OtherToCandLimit_S_Max,OtherToCandLimit_S_Explained,OtherToCandLimit_G,OtherToCandLimit_G_Period,OtherToCandLimit_G_Max,OtherToCandLimit_G_Explained,AggCandLimit,AggCandLimitExplain,DoingBusinessLimits,DoingBusinessMinimum,DoingBusinessDonors,DoingBusinessContribLimit,DoingBusinessLimit_Period,DoingBusinessLimit_Max,DoingBusinessLimit_Explained,DoingBusinessCandidates,DoingBusinessParties,DoingBusinessOther,Lobbyist_Limits,Lobbyist_Limits_Explain,Session_Limit,Session_Limit_Explain,CandLimitExemptions,CandLimitExemptionsExplained,SpecialConditionsChangeLimits,SpecialConditionsLimitsExplained
"MO2014","MO",2014," A.L. 1997 S.B. 16; 2014 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"MO2016","MO",2016," A.L. 1997 S.B. 16; 2014 § 130.032 R.S.Mo.","Yes","All",1995,"No",,1996,"No",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"Limited",2500,"Per Election",5000,,5000,"Per Election",10000,,10000,"Per Election",20000,,"Limited","2500","Per Election","5000",,"5000","Per Election","10000",,"10000","Per Election","20000",,"Limited",300,"Per Election",600,,575,"Per Election",1150,,1175,"Per Election",2350,,"No",,"No",,,,,,,,"No","No","No",,"No",,"No",,"No",
"AK1996","AK",1996,"Alaska Stat. § 15.13.070(a)","No",,,"No",,,"No",,"Limited",1000,"Per Year",2000,,1000,"Per Year",4000,,1000,"Per Year",4000,,,,,,"Limited",1000,"Per Year",2000,,1000,"Per Year",4000,,1000,"Per Year",4000,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",1000,"Per Year",2000,,1000,"Per Year",4000,,1000,"Per Year",4000,,"Limited",1000,"Per Year",2000,,1000,"Per Year",4000,,1000,"Per Year",4000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"Limited",1000,"Per Year",2000,,1000,"Per Year",4000,,1000,"Per Year",4000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, cupation or profession.  A lobbyist may not serve as a camign chair, co-chair, campaign treasurer , e,tc. And may not actively engage in the fundraising activity of a legislative campaign if the lobbyist has registered during the calendar year.","Yes","A legislator may not solicit or accept a contribution for a state legislative campaign during a legislative session, nor accept money from an event held during a legislative session if a substantial purpose of the event is to raise money for the legislator's campaign purposes, or for state legislative political purposes.","No",,,
"OH216","OH",2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NM2004","NM",2004,,"No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.",,,"No",
"NM2008","NM",2008,,"No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.",,,"No",
"NM2010","NM",2010,,"No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.",,,"No",
"NM2012","NM",2012,"Session Law: 2009 N.M. Laws ch. 68 §1; Current Code: 1978 N.M.S.A. §1-19-34.7","Yes","All",2012,"No",,2012,"No",,"Limited",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",,,,,"Limited",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election","Limited",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 10000 per general election","Limited",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election","Limited","5000","Per Election","10000","Limit is 5000 per primary election and 5000 per general election","5000","Per Election","10000","Limit is 5000 per primary election and 5000 per general election","5000","Per Election","10000","Limit is 5000 per primary election and 5000 per general election","Limited",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",2300,"Per Election",4600,"Limit is 2300 per primary election and 2300 per general election",5000,"Per Election",10000,"Limit is 5000 per primary election and 5000 per general election","No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.","No",,"Yes","A candidate may contribute to his or her own campaign without contribution limits."
"NM2014","NM",2014,"Session Law: 2009 N.M. Laws ch. 68 §1; Current Code: 1978 N.M.S.A. §1-19-34.7","Yes","All",2011,"No",,2012,"No",,"Limited",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",,,,,"Limited",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",,,,,"No",,,,,,,,,,,,,,,,,"Limited",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election","Limited",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election","Limited",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election","Limited","5100","Per Election","10200","Limit is 5100 per primary election and 5100 per general election","5100","Per Election","10200","Limit is 5100 per primary election and 5100 per general election","5100","Per Election","10200","Limit is 5100 per primary election and 5100 per general election","Limited",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",2400,"Per Election",4800,"Limit is 2400 per primary election and 2400 per general election",5100,"Per Election",10200,"Limit is 5100 per primary election and 5100 per general election","No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.","No",,"Yes","A candidate may contribute to his or her own campaign without contribution limits."
"NM2002","NM",2002,,"No",,,"No",,,"No",,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"Yes","Lobbyists are prohibited from contributing to campaigns from January 1st until (1) the end of the legislative session for legislative candidate or (2) 20 days after the end of the session for Governor. 1978 N.M.S.A. §2-11-8.1 ; A lobbyist is a person who is specifically compensated to lobby, designated by an interest group to represent the group on a regular basis to lobby, or engages in lobbying as a substantial part of his or her employment. 1978 N.M.S.A. § 2-11-2","Yes","Lobbyists are prohibted from engaging in any fundraising from January 1st until (1) for legislative candidates: the end of the legislative session or (2) for gubernatorial candidates: the 20th day after the end of the session.",,,"No",
"AL1996","AL",1996,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AL1998","AL",1998,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AL2000","AL",2000,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AL2002","AL",2002,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AL2004","AL",2004,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AL2006","AL",2006,"(No. 81-543) 10-2A-70.1","No",,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"Unlimited",,,,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,"Limited",500,"Per Election",1000,,500,"Per Election",1000,,500,"Per Election",1000,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,,,,,,,,,,,,"No",,"No",,,,,,,,,,"No",,,,"No",,,
"AK1998","AK",1998,"am § 10 ch

48 SLA 1996; am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070(a); § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",500,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",500,"Per Year",500,,500,"Per Year",500,,,,,,"Limited",1000,"Per Year",1000,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",1000,"Per Year",1000,,1000,"Per Year",1000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","10000","A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.","15000","Per Year","15000",,"100000","Per Year","100000",,"Limited",500,"Per Year",500,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",500,"Per Year",500,,500,"Per Year",500,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2000","AK",2000,"48 SLA 1996; am § 2 ch 74 SLA 1998; Alaska Stat. § 15.13.070(a); § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",500,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",500,"Per Year",500,,500,"Per Year",500,,,,,,"Limited",1000,"Per Year",1000,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",1000,"Per Year",1000,,1000,"Per Year",1000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","10000","A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.","15000","Per Year","15000",,"100000","Per Year","100000",,"Limited",500,"Per Year",500,"A candidate, or a group acting on his or her behalf, may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",500,"Per Year",500,,500,"Per Year",500,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2002","AK",2002,"am §§ 9 -- 11 ch 1 SLA 2002; am § 2 ch 3 SLA 2002; Alaska Stat. § 15.13.070(a); § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",1000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",500,"Per Year",1000,,500,"Per Year",1000,,,,,,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",500,"Per Year",1000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",500,"Per Year",1000,,500,"Per Year",1000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2004","AK",2004,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070; § 15.13.074","No",,,"No",,,"No",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"Limited",2000,"Per Year",4000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",2000,"Per Year",4000,,2000,"Per Year",4000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2006","AK",2006,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070; § 15.13.074","No",,,"No",,,"No",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"Limited",2000,"Per Year",4000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",2000,"Per Year",4000,,2000,"Per Year",4000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
"AK2008","AK",2008,"am §§ 8 -- 10 ch 108 SLA 2003; Alaska Stat. § 15.13.070; § 15.13.074","No",,,"No",,,"No",,"Limited",500,"Per Year",1000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",500,"Per Year",1000,,500,"Per Year",1000,,,,,,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,,,,,"No",,,,,,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Prohibited",,,,,,,,,,,,,"Limited",10000,"Per Year",10000,"A candidate, or a group acting on his behalf may not raise campaign funds until January 1 of the year of election and may not accept contributions any later than 45 days after the election.",15000,"Per Year",15000,,100000,"Per Year",100000,,"Limited","10000","Per Year","20000","A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.","15000","Per Year","30000",,"100000","Per Year","200000",,"Limited",1000,"Per Year",2000,"A person or group may not make a contribution to a candidate before the date that is 18 months before the general election.",1000,"Per Year",2000,,1000,"Per Year",2000,,"No",,"No",,,,,,,,,,"Yes","""Lobbyist"" means 	(A)  a person who is employed and receives payments, or who contracts for economic consideration, including reimbursement for reasonable travel and living expenses, to communicate directly or through the person's agents with any public official for the purpose of influencing legislative or administrative action if a substantial or regular portion of the activities for which the person receives consideration is for the purpose of influencing legislative or administrative action; or
	(B)  a person who represents oneself as engaging in the influencing of legislative or administrative action as a business, occupation, or professi.","Yes",,,,,
